phage	taxid	name	rank
PSA-HM1	1357705	Pseudoalteromonas phage HM1	species
PSA-HP1	1357706	Pseudoalteromonas phage HP1	no rank
PSA-HS1	1357707	Pseudoalteromonas phage HS1	species
PSA-HS2	1357708	Pseudoalteromonas phage HS2	species
PSA-HS6	1357710	Pseudoalteromonas phage HS6	species
Cba phi38:1	1327977	Cellulophaga phage phi38:1	species
Cba phi18:3	1327983	Cellulophaga phage phi18:3	species
Cba phi38:2	1327999	Cellulophaga phage phi38:2	species
Cba phi13:1	1327992	Cellulophaga phage phi13:1	no rank
Cba phi18:1	1327982	Cellulophaga phage phi18:1	no rank
phix174	2886930	Escherichia phage phiX174	no rank
alpha3	10849	Escherichia phage alpha3	no rank
