phage	taxid	name	rank	species	genus	family
PSA-HM1	1357705	Pseudoalteromonas phage HM1	species	Pseudoalteromonas phage HM1		Myoviridae
PSA-HP1	1357706	Pseudoalteromonas phage HP1	no rank	Pseudoalteromonas virus HP1	Melvirus	Zobellviridae
PSA-HS1	1357707	Pseudoalteromonas phage HS1	species	Pseudoalteromonas phage HS1		Siphoviridae
PSA-HS2	1357708	Pseudoalteromonas phage HS2	species	Pseudoalteromonas phage HS2		Siphoviridae
PSA-HS6	1357710	Pseudoalteromonas phage HS6	species	Pseudoalteromonas phage HS6		Siphoviridae
Cba phi38:1	1327977	Cellulophaga phage phi38:1	species	Cellulophaga phage phi38:1		Podoviridae
Cba phi18:3	1327983	Cellulophaga phage phi18:3	species	Cellulophaga phage phi18:3		Podoviridae
Cba phi38:2	1327999	Cellulophaga phage phi38:2	species	Cellulophaga phage phi38:2		Myoviridae
Cba phi13:1	1327992	Cellulophaga phage phi13:1	no rank	Cellulophaga virus ST	Cbastvirus	Siphoviridae
Cba phi18:1	1327982	Cellulophaga phage phi18:1	no rank	Cellulophaga virus Cba181	Helsingorvirus	Siphoviridae
phix174	2886930	Escherichia phage phiX174	no rank	Escherichia virus phiX174	Sinsheimervirus	Microviridae
alpha3	10849	Escherichia phage alpha3	no rank	Escherichia virus alpha3	Alphatrevirus	Microviridae
